"name","key_mlbam","key_bbref","key_fangraphs"
"Dan Winkler",595465,"winklda01",12237
"Scott Diamond",539438,"diamosc01",5089
"Greg Mahle",657670,"mahlegr01",16877
"Tom Wilhelmsen",452666,"wilheto01",9975
"Fernando Abad",472551,"abadfe01",4994
"John Gant",607231,"gantjo01",13684
"Taylor Cole",518566,"coleta01",11964
"Travis Taijeron",607369,"taijetr01",11935
"Shed Long",643418,"longsh01",16542
"Zac Curtis",657205,"curtiza01",16684
"Jaff Decker",543094,"deckeja01",7945
"Michael Cuddyer",150212,"cuddymi01",1534
"DJ Johnson",597113,"johnsdj01",12578
"Brandon Moss",461235,"mossbr01",4467
"Luis Valbuena",472528,"valbulu01",4969
"Chih-Wei Hu",629496,"huch02",16419
"Shin-Soo Choo",425783,"choosh01",3174
"Santiago Casilla",433586,"garcija01",2873
"J. J. Hardy",429666,"hardyjj01",3797
"Kristopher Negrón",502117,"negrokr01",5306
"Zach Walters",595025,"walteza01",10622
"Matt Hague",518755,"haguema01",7772
"Mark Zagunis",657145,"zagunma01",16565
"Josh James",657624,"jamesjo02",16794
"James Loney",425766,"loneyja01",4556
"Joe Mauer",408045,"mauerjo01",1857
"Ryan Madson",425492,"madsory01",1852
"Rob Scahill",543746,"scahiro01",9286
"Ryan Hanigan",452672,"hanigry01",4952
"Elliot Soto",519303,"sotoel01",11155
"Ervin Santana",429722,"santaer01",3200
"Austin Bibens-Dirkx",502212,"bibenau01",9559
"Eric Yardley",642233,"yardler01",15538
"Franklyn Kilome",642584,"kilomfr01",17861
"Aaron Blair",594760,"blairaa01",14934
"Francisco Arcia",516472,"arciafr01",10286
"Brady Rodgers",572086,"rodgebr01",13393
"Matt Stites",592781,"stitema01",12165
"Adam Liberatore",571893,"liberad01",10637
"Andy Parrino",519107,"parrian01",3972
"Miguel Aguilar",620396,"aguilmi01",19246
"Kirk Nieuwenhuis",543590,"nieuwki01",6400
"Jayson Aquino",593969,"aquinja01",13150
"Oswaldo Arcia",542455,"arciaos01",10306
"Matt Magill",543483,"magilma01",3950
"CC Sabathia",282332,"sabatc.01",404
"Nick Goody",580792,"goodyni01",13685
"Kaleb Cowart",592230,"cowarka01",11494
"Trevor Oaks",656805,"oakstr01",16468
"Marc Rzepczynski",519240,"rzepcma01",6612
"Jefry Rodriguez",622446,"rodrije01",17018
"Hunter Wood",621056,"woodhu01",15091
"Andrés Blanco",433217,"blancan01",1907
"Carlos Torres",448614,"torreca01",7624
"Tyler Olson",621397,"olsonty01",14741
"Mayckol Guaipe",515052,"guaipma01",11663
"Matt Joyce",459964,"joycema01",3353
"Mitch Harris",518771,"harrimi03",4530
"Chin-hui Tsao",425835,"tsaoch01",1776
"Jonathan Holder",656547,"holdejo02",16588
"Jarrod Saltalamacchia",457454,"saltaja01",5557
"Ramón Cabrera",541608,"cabrera01",10327
"David Rollins",543716,"rollida01",11928
"Carl Crawford",408307,"crawfca02",1201
"Eric Fryer",518700,"fryerer01",8145
"Wei-Yin Chen",612672,"chenwe02",13071
"Scott Oberg",623184,"obergsc01",13911
"Hans Crouse",668968,"crousha01",22192
"Ryan Dorow",676900,"dorowry01",23559
"Carlos González",471865,"gonzaca01",7287
"Drew Pomeranz",519141,"pomerdr01",11426
"Dan Butler",576788,"butleda01",9968
"Michael Brady",572728,"bradymi01",8461
"Adam Moore",446192,"mooread01",9362
"Phil Ervin",640447,"ervinph01",14738
"Ricardo Pinto",620982,"pintori01",16318
"Damien Magnifico",571911,"magnida01",13395
"Wade LeBlanc",453281,"leblawa01",5221
"Dan Robertson",543706,"roberda09",6266
"Brooks Pounders",572044,"poundbr01",10387
"David Freese",501896,"freesda01",9549
"Chris Smith",627262,"smithch10",14449
"Jairo Labourt",607951,"labouja01",14996
"Colin Walsh",595023,"walshco02",10961
"Henry Urrutia",625329,"urruthe01",14441
"Caleb Cotham",571584,"cothaca01",10075
"Carlos Pérez",542208,"perezca02",10642
"Luis Alexander Basabe",642772,"basablu01",17839
"Matt Wieters",446308,"wietema01",4298
"Caleb Frare",621350,"frareca01",14353
"Cody Asche",605125,"ascheco01",11997
"Victor Martinez",400121,"martivi01",393
"Luis Escobar",650813,"escoblu01",17345
"Evan Scribner",519267,"scribev01",7525
"J. J. Hoover",543331,"hoovejj01",9037
"Felipe Vázquez",553878,"riverfe01",12076
"Wesley Wright",449079,"wrighwe01",5960
"Aaron Harang",421685,"haranaa01",1451
"Julio Teheran",527054,"teherju01",6797
"Wyatt Mathisen",621500,"mathiwy01",14555
"Jimmy Nelson",519076,"nelsoji02",10547
"Mike Aviles",449107,"avilemi01",5986
"Kyle Parker",592621,"parkeky01",11763
"Chance Sisco",642082,"siscoch01",15694
"Alan Busenitz",641427,"busenal01",15239
"Domonic Brown",502126,"browndo01",3154
"Ryan Cordell",641477,"cordery01",15181
"Felix Jorge",602928,"jorgefe01",14532
"Brian Schlitter",489295,"schlibr01",3599
"Trevor Brown",623143,"browntr01",13895
"Josh Smith",605479,"smithjo08",13629
"Ryan Sherriff",595411,"sherrry01",12249
"Justin Garza",621057,"garzaju01",19784
"Kyuji Fujikawa",493117,"fujikky01",14443
"Ty Tice",676709,"ticety01",20177
"Matt Andriese",542882,"andrima01",12022
"Ramón Torres",593527,"torrera01",14113
"Keyvius Sampson",572102,"sampske01",10039
"Chris Rodriguez",669735,"rodrich01",22310
"Richard Rodríguez",593144,"rodriri05",13549
"Sergio Santos",435045,"santose01",4734
"Allen Córdoba",642707,"cordoal01",15722
"Corey Ray",641999,"rayco01",19170
"Michael Ynoa",573589,"ynoami01",14093
"Kevin Correia",429781,"correke01",1767
"José Osuna",591741,"osunajo01",12937
"Wilfredo Tovar",541600,"tovarwi01",10416
"Deck McGuire",592547,"mcguide02",11596
"Félix Hernández",433587,"hernafe02",4772
"Conner Greene",641632,"greenco01",16455
"Jordy Mercer",474568,"mercejo03",6547
"Sócrates Brito",593647,"britoso01",12944
"Kenny Roberts",594977,"roberke02",10938
"Alec Bettinger",676424,"bettial01",20312
"Chris Parmelee",476633,"parmech01",2554
"Brandon Gomes",460156,"gomesbr01",2267
"Brian Flynn",543169,"flynnbr01",12027
"Brandon Finnegan",605232,"finnebr01",16208
"Chris Dominguez",458689,"dominch01",9718
"Trevor Hildenberger",657610,"hildetr01",17002
"Jake Esch",605222,"eschja01",12756
"Cory Luebke",458537,"luebkco01",1984
"Jeremy Jeffress",502026,"jeffrje01",9490
"Roberto Osuna",532077,"osunaro01",13764
"Daniel Castro",593495,"castrda01",15450
"Radhames Liz",467785,"lizra01",5843
"Asher Wojciechowski",592879,"wojcias01",10836
"Aaron Slegers",642083,"slegeaa01",15231
"Josh Smith",595001,"smithjo07",10946
"Tony Barnette",501817,"barneto01",3555
